model,average_precision,balanced_accuracy,precision_extreme,recall_extreme,f1_extreme,mcc,auroc,training_seconds,task,family,kernel_seconds
Q_farooq_pipeline,0.8166666666666667,0.9444444444444444,0.5,1.0,0.6666666666666666,0.6666666666666666,0.9722222222222222,,extreme_p90,qsvm,14.820728681999753
logistic,0.7708333333333333,0.8472222222222222,0.6,0.75,0.6666666666666666,0.629940788348712,0.9722222222222222,0.002900941000916646,extreme_p90,classical,
svm_linear,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.9375000000000001,0.009221160999004496,extreme_p90,classical,
svm_rbf,0.5254901960784314,0.5,0.0,0.0,0.0,0.0,0.8194444444444444,0.009037910998813459,extreme_p90,classical,
dummy,0.1,0.5,0.0,0.0,0.0,0.0,0.5,0.00016907200006244238,extreme_p90,classical,
Q_farooq_pipeline,0.7492463419182611,0.5666666666666667,0.6666666666666666,0.8,0.7272727272727273,0.14907119849998596,0.6319999999999999,,aqi_bad,qsvm,14.997915927000577
logistic,0.6981313071127346,0.5466666666666666,0.6923076923076923,0.36,0.47368421052631576,0.09647146023605102,0.5706666666666667,0.003000648999659461,aqi_bad,classical,
svm_linear,0.6886427063098227,0.5,0.625,1.0,0.7692307692307693,0.0,0.4826666666666667,0.006611550999878091,aqi_bad,classical,
dummy,0.625,0.5,0.625,1.0,0.7692307692307693,0.0,0.5,0.00011534999975992832,aqi_bad,classical,
svm_rbf,0.5552880658554664,0.5,0.625,1.0,0.7692307692307693,0.0,0.4,0.007449397999153007,aqi_bad,classical,
svm_rbf,0.6816208238954564,0.4782608695652174,0.5641025641025641,0.9565217391304348,0.7096774193548387,-0.13766648985981775,0.5575447570332481,0.007731771000180743,aqi_good_vs_moderate,classical,
Q_farooq_pipeline,0.6404893460065215,0.5473145780051151,0.6190476190476191,0.5652173913043478,0.5909090909090909,0.09367568931086634,0.557544757033248,,aqi_good_vs_moderate,qsvm,15.040711428999202
logistic,0.6082944995721302,0.510230179028133,0.5833333333333334,0.6086956521739131,0.5957446808510638,0.02064600347538335,0.5268542199488491,0.0025324049984192243,aqi_good_vs_moderate,classical,
dummy,0.575,0.5,0.575,1.0,0.7301587301587301,0.0,0.5,0.00010741500045696739,aqi_good_vs_moderate,classical,
svm_linear,0.5584090491278538,0.4859335038363171,0.5675675675675675,0.9130434782608695,0.7,-0.052801081377220026,0.49104859335038364,0.007721530999333481,aqi_good_vs_moderate,classical,
