model,accuracy,average_precision,balanced_accuracy,precision_extreme,recall_extreme,f1_extreme,mcc,auroc,family,n_features,seed,training_seconds,positives_test,angular_scaler,reps,kernel_seconds,pca_explained
dummy,0.9,0.1,0.5,0.0,0.0,0.0,0.0,0.5,classical,8,42,0.00033226900001182,8,,,,
logistic,0.85,0.36830650515995345,0.6944444444444444,0.3333333333333333,0.5,0.4,0.32673201960653564,0.796875,classical,8,42,0.012179126000035012,8,,,,
svm_linear,0.8875,0.36539736305361303,0.4930555555555556,0.0,0.0,0.0,-0.037502930030867465,0.796875,classical,8,42,0.016997153999966486,8,,,,
svm_rbf,0.9,0.38721289842667317,0.5,0.0,0.0,0.0,0.0,0.8211805555555556,classical,8,42,0.016835633999960464,8,,,,
Q_farooq_pipeline,0.7625,0.25526652258286436,0.7013888888888888,0.23809523809523808,0.625,0.3448275862068966,0.27462564503478243,0.7986111111111112,qsvm,2,42,0.0017855090000011842,8,minmax_0_1,1.0,156.23857374799996,"[0.45012492592451786, 0.27955037283913686]"
Q_farooq_0pi,0.6875,0.26433020683020686,0.5486111111111112,0.13043478260869565,0.375,0.1935483870967742,0.06444295394437921,0.6597222222222222,qsvm,2,42,0.0018371900000602182,8,minmax_0_pi,2.0,170.51369417,"[0.45012492592451786, 0.27955037283913686]"
dummy,0.9,0.1,0.5,0.0,0.0,0.0,0.0,0.5,classical,8,7,0.00023696000005202222,8,,,,
logistic,0.8,0.3171283426718209,0.7222222222222222,0.2777777777777778,0.625,0.38461538461538464,0.3192983147142665,0.8576388888888888,classical,8,7,0.004119329999980437,8,,,,
svm_linear,0.8875,0.3207842677840409,0.4930555555555556,0.0,0.0,0.0,-0.037502930030867465,0.8663194444444444,classical,8,7,0.014914198999917971,8,,,,
svm_rbf,0.9,0.35357710680937915,0.5,0.0,0.0,0.0,0.0,0.7378472222222222,classical,8,7,0.014632579000021906,8,,,,
Q_farooq_pipeline,0.75,0.2640752151513377,0.75,0.25,0.75,0.375,0.32732683535398854,0.8246527777777778,qsvm,2,7,0.0022946300000512565,8,minmax_0_1,1.0,156.88200888999995,"[0.43666859479752085, 0.2923530607887785]"
Q_farooq_0pi,0.7875,0.22577014856727973,0.6041666666666667,0.2,0.375,0.2608695652173913,0.16012815380508713,0.5989583333333333,qsvm,2,7,0.0021499000001767854,8,minmax_0_pi,2.0,169.52489344800006,"[0.43666859479752085, 0.2923530607887785]"
dummy,0.9,0.1,0.5,0.0,0.0,0.0,0.0,0.5,classical,8,11,0.00022597999986828654,8,,,,
logistic,0.7875,0.3488596574993634,0.8819444444444444,0.32,1.0,0.48484848484848486,0.49441323247304425,0.8923611111111112,classical,8,11,0.004329069000050367,8,,,,
svm_linear,0.9,0.2626723185457896,0.5,0.0,0.0,0.0,0.0,0.7951388888888888,classical,8,11,0.014640977999988536,8,,,,
svm_rbf,0.9,0.1387807091284914,0.5,0.0,0.0,0.0,0.0,0.6423611111111112,classical,8,11,0.015039548000004288,8,,,,
Q_farooq_pipeline,0.5875,0.5333324989653838,0.7708333333333333,0.1951219512195122,1.0,0.32653061224489793,0.325101610132231,0.8368055555555556,qsvm,2,11,0.0018762199999855511,8,minmax_0_1,1.0,155.62566609700002,"[0.411679514420449, 0.32502143456845445]"
Q_farooq_0pi,0.6625,0.29555024653708867,0.8125,0.22857142857142856,1.0,0.37209302325581395,0.3779644730092272,0.859375,qsvm,2,11,0.001975488999960362,8,minmax_0_pi,2.0,171.220443036,"[0.411679514420449, 0.32502143456845445]"
dummy,0.9,0.1,0.5,0.0,0.0,0.0,0.0,0.5,classical,8,13,0.00025141099990833027,8,,,,
logistic,0.8625,0.47315592903828196,0.7569444444444444,0.38461538461538464,0.625,0.47619047619047616,0.4178990576692133,0.8020833333333334,classical,8,13,0.004111130000183039,8,,,,
svm_linear,0.9,0.45543791956835433,0.5,0.0,0.0,0.0,0.0,0.8055555555555555,classical,8,13,0.013791628000035416,8,,,,
svm_rbf,0.9,0.46707014745697606,0.5,0.0,0.0,0.0,0.0,0.8576388888888888,classical,8,13,0.014699048000011317,8,,,,
Q_farooq_pipeline,0.7875,0.26192838454722217,0.7708333333333333,0.2857142857142857,0.75,0.41379310344827586,0.36932414332263847,0.7638888888888888,qsvm,2,13,0.0022099000000253,8,minmax_0_1,1.0,159.56745752400002,"[0.3810392346081471, 0.3127678949157482]"
Q_farooq_0pi,0.7125,0.23122279669487117,0.5625,0.14285714285714285,0.375,0.20689655172413793,0.08522864845907041,0.657986111111111,qsvm,2,13,0.002058440000155315,8,minmax_0_pi,2.0,172.20211358699999,"[0.3810392346081471, 0.3127678949157482]"
dummy,0.9,0.1,0.5,0.0,0.0,0.0,0.0,0.5,classical,8,21,0.0002577600000677194,8,,,,
logistic,0.7625,0.28790340094687916,0.7013888888888888,0.23809523809523808,0.625,0.3448275862068966,0.27462564503478243,0.814236111111111,classical,8,21,0.004382848999966882,8,,,,
svm_linear,0.9,0.26901648188412897,0.5,0.0,0.0,0.0,0.0,0.8038194444444444,classical,8,21,0.01556332699988161,8,,,,
svm_rbf,0.9,0.32299142743221687,0.5,0.0,0.0,0.0,0.0,0.7951388888888888,classical,8,21,0.01595417799990173,8,,,,
Q_farooq_pipeline,0.7375,0.4197295597784749,0.6319444444444444,0.19047619047619047,0.5,0.27586206896551724,0.17992714674692645,0.7378472222222223,qsvm,2,21,0.0019984499999736727,8,minmax_0_1,1.0,157.5514800609999,"[0.37098423608660624, 0.3626919144828254]"
Q_farooq_0pi,0.6,0.20502518315018314,0.6111111111111112,0.14705882352941177,0.625,0.23809523809523808,0.13485912997977964,0.6944444444444444,qsvm,2,21,0.0019858800001202326,8,minmax_0_pi,2.0,173.81342123900004,"[0.37098423608660624, 0.3626919144828254]"
