original_index,timestamp,target,partition
57,2013-03-03 20:00:00,0,train
105,2013-03-05 20:00:00,1,train
393,2013-03-17 20:00:00,0,train
442,2013-03-19 21:00:00,0,train
481,2013-03-21 12:00:00,0,train
610,2013-03-26 21:00:00,0,train
823,2013-04-04 18:00:00,0,train
905,2013-04-08 04:00:00,0,train
1028,2013-04-13 07:00:00,0,train
1099,2013-04-16 06:00:00,0,train
1282,2013-04-23 21:00:00,0,train
1574,2013-05-06 01:00:00,0,train
2031,2013-05-25 02:00:00,0,train
2279,2013-06-04 10:00:00,0,train
2347,2013-06-07 06:00:00,0,train
2610,2013-06-18 05:00:00,0,train
2958,2013-07-02 17:00:00,0,train
3026,2013-07-05 13:00:00,0,train
3028,2013-07-05 15:00:00,0,train
3794,2013-08-06 13:00:00,0,train
4156,2013-08-21 15:00:00,0,train
4340,2013-08-29 07:00:00,0,train
4373,2013-08-30 16:00:00,0,train
4606,2013-09-09 09:00:00,0,train
4727,2013-09-14 10:00:00,0,train
4825,2013-09-18 12:00:00,0,train
5025,2013-09-26 20:00:00,1,train
5350,2013-10-10 09:00:00,0,train
5494,2013-10-16 09:00:00,0,train
5886,2013-11-01 17:00:00,1,train
5896,2013-11-02 03:00:00,0,train
6177,2013-11-13 20:00:00,0,train
6191,2013-11-14 10:00:00,0,train
6518,2013-11-28 01:00:00,0,train
6616,2013-12-02 03:00:00,0,train
7725,2014-01-17 08:00:00,0,train
8025,2014-01-29 21:00:00,0,train
8875,2014-03-06 13:00:00,0,train
8884,2014-03-06 22:00:00,0,train
8936,2014-03-09 02:00:00,0,train
9003,2014-03-11 21:00:00,0,train
9570,2014-04-04 12:00:00,0,train
9910,2014-04-18 16:00:00,0,train
9953,2014-04-20 11:00:00,0,train
9991,2014-04-22 01:00:00,0,train
10157,2014-05-02 23:00:00,0,train
10640,2014-05-23 02:00:00,0,train
10747,2014-05-27 13:00:00,0,train
11088,2014-06-10 18:00:00,0,train
11222,2014-06-16 08:00:00,0,train
12132,2014-07-24 06:00:00,0,train
12271,2014-07-30 01:00:00,1,train
13078,2014-09-01 16:00:00,0,train
13185,2014-09-06 03:00:00,0,train
13349,2014-09-12 23:00:00,0,train
13452,2014-09-17 06:00:00,0,train
13513,2014-09-19 19:00:00,0,train
13523,2014-09-20 05:00:00,0,train
13876,2014-10-04 22:00:00,0,train
14579,2014-11-03 17:00:00,0,train
14678,2014-11-07 20:00:00,0,train
15163,2014-11-28 01:00:00,1,train
15442,2014-12-09 16:00:00,0,train
15616,2015-01-01 15:00:00,0,train
15747,2015-01-07 02:00:00,0,train
15935,2015-01-14 22:00:00,1,train
16801,2015-02-20 01:00:00,0,train
16955,2015-02-26 11:00:00,0,train
17148,2015-03-06 12:00:00,1,train
17199,2015-03-08 15:00:00,0,train
17203,2015-03-08 19:00:00,0,train
17414,2015-03-17 17:00:00,0,train
17487,2015-03-20 18:00:00,0,train
17867,2015-04-05 15:00:00,0,train
17975,2015-04-10 03:00:00,1,train
18823,2015-05-16 20:00:00,0,train
19822,2015-06-28 19:00:00,0,train
20217,2015-07-15 06:00:00,0,train
20299,2015-07-18 16:00:00,0,train
20545,2015-07-28 22:00:00,0,train
20632,2015-08-04 21:00:00,0,validation
20715,2015-08-08 08:00:00,0,validation
21134,2015-08-25 19:00:00,0,validation
21581,2015-09-13 10:00:00,0,validation
21590,2015-09-13 19:00:00,0,validation
21668,2015-09-17 03:00:00,1,validation
22351,2015-10-15 14:00:00,1,validation
22421,2015-10-18 12:00:00,0,validation
22790,2015-11-02 23:00:00,1,validation
22982,2015-11-10 23:00:00,0,validation
23350,2015-11-26 07:00:00,0,validation
23626,2015-12-07 19:00:00,1,validation
23769,2015-12-13 18:00:00,0,validation
23902,2015-12-19 07:00:00,0,validation
24128,2015-12-28 17:00:00,1,validation
24161,2015-12-30 02:00:00,0,validation
24274,2016-01-03 19:00:00,0,validation
24483,2016-01-12 12:00:00,0,validation
24694,2016-01-21 07:00:00,0,validation
24934,2016-01-31 08:00:00,0,validation
25018,2016-02-03 20:00:00,0,validation
25090,2016-02-06 20:00:00,0,validation
25233,2016-02-12 19:00:00,0,validation
25260,2016-02-13 22:00:00,0,validation
25274,2016-02-14 12:00:00,0,validation
25281,2016-02-14 19:00:00,0,validation
25602,2016-02-28 04:00:00,0,validation
25619,2016-02-28 21:00:00,0,validation
25855,2016-03-11 02:00:00,0,validation
26109,2016-03-21 16:00:00,0,validation
26158,2016-03-23 17:00:00,0,validation
26169,2016-03-24 04:00:00,0,validation
26337,2016-03-31 04:00:00,0,validation
26353,2016-03-31 20:00:00,0,validation
26389,2016-04-02 08:00:00,0,validation
26767,2016-04-20 03:00:00,0,validation
26834,2016-04-22 22:00:00,0,validation
27122,2016-05-04 22:00:00,0,validation
27159,2016-05-06 11:00:00,0,validation
27378,2016-05-15 14:00:00,0,validation
27624,2016-05-25 20:00:00,0,test
27742,2016-05-30 18:00:00,0,test
27789,2016-06-01 17:00:00,0,test
27797,2016-06-02 01:00:00,0,test
27806,2016-06-02 10:00:00,0,test
28096,2016-06-14 12:00:00,0,test
28106,2016-06-14 22:00:00,0,test
28212,2016-06-19 08:00:00,0,test
28364,2016-06-25 16:00:00,0,test
28446,2016-06-29 02:00:00,0,test
28486,2016-06-30 18:00:00,0,test
28574,2016-07-04 10:00:00,0,test
28623,2016-07-06 11:00:00,0,test
28667,2016-07-08 07:00:00,0,test
29234,2016-08-02 17:00:00,0,test
29311,2016-08-05 22:00:00,0,test
29459,2016-08-12 02:00:00,0,test
29532,2016-08-15 03:00:00,0,test
29678,2016-08-21 05:00:00,0,test
29717,2016-08-22 20:00:00,0,test
29930,2016-08-31 17:00:00,0,test
29989,2016-09-03 04:00:00,0,test
29992,2016-09-03 07:00:00,0,test
30208,2016-09-12 19:00:00,0,test
30234,2016-09-13 21:00:00,0,test
30340,2016-09-18 07:00:00,0,test
30595,2016-09-28 22:00:00,0,test
30967,2016-10-14 10:00:00,0,test
31016,2016-10-16 11:00:00,0,test
31086,2016-10-19 09:00:00,0,test
31143,2016-10-21 18:00:00,0,test
31183,2016-10-23 10:00:00,0,test
31325,2016-10-29 08:00:00,0,test
31428,2016-11-02 15:00:00,1,test
31479,2016-11-04 18:00:00,1,test
31522,2016-11-06 13:00:00,0,test
32846,2016-12-31 17:00:00,1,test
33452,2017-01-25 23:00:00,0,test
33939,2017-02-15 06:00:00,1,test
34095,2017-02-21 18:00:00,0,test
